54.683	25.317	543071
54.900	23.900	336817
55.717	21.117	177823
54.950	25.067	120934
55.733	24.350	109034
54.400	24.050	63651
54.517	25.317	44910
55.400	24.700	38840
55.083	24.283	33178
55.500	25.600	31142
55.283	23.967	29850
55.983	22.250	29119
55.600	26.417	26805
55.250	22.283	26444
55.250	24.750	25886
55.917	21.850	22311
55.883	21.250	20776
55.350	21.483	19751
55.483	24.150	18453
55.917	21.050	17244
55.717	21.400	16314
54.017	23.967	15547
54.411	24.018	14960
55.967	25.583	14947
56.200	24.750	13780
54.767	24.633	13248
54.817	23.867	12938
56.000	22.933	12721
55.067	22.767	12510
54.650	23.033	12483
55.367	23.117	11644
55.533	25.100	11400
54.650	25.050	11277
54.683	25.083	11121
56.317	22.900	10733
54.633	23.950	10489
54.395	23.997	10489
55.067	25.650	10312
55.633	22.933	9984
54.217	24.567	9771
54.867	24.450	9395
56.067	24.400	7997
55.833	24.967	7833
55.733	26.250	7349
56.267	21.533	6920
55.233	25.417	6771
54.450	23.294	6658
55.050	24.950	6654
54.300	25.383	6402
54.893	23.917	6330
